id,location,latitude,longitude,area_sqm,bedrooms,bathrooms,toilets,stories,house_type,furnishing,condition,parking_spaces,distance_to_city_center_km,proximity_to_main_road_km,security_rating,infrastructure_quality,electricity_stability,water_supply,neighborhood_prestige,desirability_score,price_naira,is_outlier,outlier_reason
1,Challenge,7.33523,3.878544,225,3,2,3,2,Terraced House,Semi-Furnished,Renovated,1,10.3,2.66,6.6,7.4,3.2,6.9,3,3.8,10500000,False,
2,Jericho,7.39915,3.882228,573,5,5,5,2,Detached House,Unfurnished,New,3,7.7,2.14,10.0,8.0,4.8,9.5,4,4.8,182400000,False,
3,Oluyole Estate,7.358024,3.848229,256,3,3,3,2,Duplex,Unfurnished,New,2,9.1,2.18,8.1,7.9,5.1,8.0,4,4.2,41000000,False,
4,Alalubosa,7.371581,3.863036,230,3,3,3,1,Bungalow,Semi-Furnished,Old,1,4.8,0.18,5.4,7.5,6.8,9.8,4,4.3,29600000,False,
5,Oluyole Estate,7.364261,3.864556,444,3,4,5,2,Duplex,Unfurnished,Renovated,1,6.4,0.12,9.1,8.7,7.5,8.8,4,4.2,44500000,False,
6,Oluyole Estate,7.360653,3.861471,196,3,3,4,1,Terraced House,Semi-Furnished,Renovated,2,11.0,2.3,7.2,6.6,5.6,8.4,4,4.2,24800000,False,
7,Alalubosa,7.372724,3.880835,226,2,2,3,2,Terraced House,Semi-Furnished,Renovated,2,2.0,2.43,7.3,6.4,4.8,8.4,4,4.3,32100000,False,
8,Samonda,7.441006,3.896897,182,2,2,3,1,Flat,Unfurnished,Renovated,1,10.1,0.92,9.0,5.8,6.5,5.4,3,3.2,14400000,False,
9,Agodi GRA,7.419445,3.879906,381,4,3,3,1,Detached House,Unfurnished,Old,3,7.6,1.11,9.4,9.1,9.0,9.1,4,4.7,121800000,False,
10,Oluyole Estate,7.366897,3.848489,200,3,2,3,2,Terraced House,Unfurnished,Old,1,6.8,1.71,10.0,8.1,9.0,8.9,4,4.2,16800000,False,
11,Agodi GRA,7.402841,3.902343,369,4,4,4,3,Detached House,Semi-Furnished,New,3,2.0,1.5,8.4,7.6,7.6,8.0,4,4.7,226300000,False,
12,Oluyole Estate,7.368272,3.858589,369,3,3,3,1,Bungalow,Unfurnished,Renovated,1,5.8,2.08,6.7,8.7,5.3,7.4,4,4.2,39500000,False,
13,Oluyole Estate,7.350543,3.860248,325,4,5,5,1,Bungalow,Unfurnished,New,3,7.4,2.96,9.4,5.9,6.2,8.3,4,4.2,46600000,False,
