location,latitude,longitude,area_sqm,bedrooms,bathrooms,toilets,stories,house_type,furnishing,condition,parking_spaces,distance_to_city_center_km,proximity_to_main_road_km,security_rating,infrastructure_quality,electricity_stability,water_supply,neighborhood_prestige,desirability_score,price_naira
Iyaganku GRA,7.389706,3.875771,382,4,4,5,3,Detached House,Furnished,Renovated,3,6.8,0.38,9.2,9.9,9.0,8.3,4,4.6,198200000
Bodija,7.430843,3.907145,339,3,4,4,2,Duplex,Unfurnished,New,3,5.8,0.24,10.0,10.0,8.6,10.0,5,5.0,96200000
Akobo,7.402775,3.919041,234,3,3,4,1,Terraced House,Unfurnished,Old,1,14.1,2.48,6.7,5.5,8.1,7.1,3,3.5,15900000
Bodija,7.433866,3.907881,284,3,2,4,2,Duplex,Semi-Furnished,Old,2,8.9,0.61,10.0,9.0,9.0,9.7,5,5.0,55800000
Bodija,7.425437,3.917691,314,4,5,5,2,Detached House,Furnished,New,3,7.7,1.9,10.0,10.0,6.4,9.6,5,5.0,131500000
Agodi GRA,7.414426,3.905592,375,4,3,4,1,Bungalow,Semi-Furnished,New,4,2.0,2.97,8.9,8.3,8.3,8.7,4,4.7,199900000
Akobo,7.38598,3.921318,105,1,2,4,1,Flat,Unfurnished,Old,2,8.4,1.55,6.2,6.6,4.7,6.2,3,3.5,9500000
Jericho,7.391713,3.886489,254,3,3,4,2,Duplex,Furnished,New,3,8.8,0.73,5.7,9.9,7.6,10.0,4,4.8,122600000
Iyaganku GRA,7.37195,3.854081,388,4,3,3,1,Bungalow,Semi-Furnished,New,2,2.8,1.86,9.4,7.9,7.0,9.8,4,4.6,182200000
Jericho,7.404082,3.882497,528,4,5,6,3,Detached House,Semi-Furnished,Renovated,3,4.6,1.82,9.2,8.9,8.2,10.0,4,4.8,153400000
Iyaganku GRA,7.391459,3.874011,346,4,5,5,2,Detached House,Semi-Furnished,Renovated,3,2.7,2.15,10.0,9.1,7.9,7.4,4,4.6,176600000
Akobo,7.405676,3.921581,131,1,1,2,1,Flat,Semi-Furnished,New,1,13.2,2.09,6.7,7.9,8.0,6.5,3,3.5,11600000
Bodija,7.424901,3.920383,316,4,3,3,3,Detached House,Semi-Furnished,New,3,5.8,1.24,10.0,10.0,7.5,7.7,5,5.0,124900000
Akobo,7.414461,3.918751,298,3,3,3,2,Terraced House,Unfurnished,Renovated,1,11.9,0.46,7.6,8.7,9.0,5.9,3,3.5,15400000
Jericho,7.405933,3.891194,568,5,5,6,1,Detached House,Semi-Furnished,New,3,7.6,1.49,8.7,9.0,8.3,9.7,4,4.8,204700000
Samonda,7.431396,3.910118,182,3,3,3,1,Flat,Unfurnished,New,2,12.2,1.93,7.5,5.5,5.7,4.4,3,3.2,15800000
Oluyole Estate,7.35631,3.853989,195,2,1,3,1,Bungalow,Semi-Furnished,New,2,8.3,0.12,7.8,5.7,8.6,9.2,4,4.2,23700000
Iyaganku GRA,7.398237,3.879117,289,3,4,5,2,Duplex,Semi-Furnished,Renovated,3,6.5,2.63,10.0,8.2,9.0,9.2,4,4.6,147700000
Bodija,7.43414,3.914451,363,5,5,6,1,Bungalow,Unfurnished,New,3,7.3,1.71,10.0,10.0,8.4,10.0,5,5.0,108300000
Challenge,7.345407,3.881639,187,3,2,3,1,Flat,Unfurnished,Old,1,13.8,1.38,6.8,5.9,7.8,6.3,3,3.8,5200000
Samonda,7.435156,3.922555,134,2,2,4,2,Terraced House,Unfurnished,Old,2,8.0,2.68,7.9,7.3,5.5,6.6,3,3.2,10200000
Akobo,7.396936,3.928933,161,2,2,3,1,Bungalow,Unfurnished,New,0,9.5,0.51,6.2,7.3,4.3,8.2,3,3.5,11900000
Agodi GRA,7.399486,3.912659,302,4,3,3,3,Detached House,Furnished,Renovated,3,6.6,1.89,8.2,7.7,8.5,10.0,4,4.7,154600000
Akobo,7.387859,3.908814,89,1,2,3,1,Flat,Semi-Furnished,Renovated,0,9.3,2.72,7.7,7.7,7.8,6.8,3,3.5,5900000
Challenge,7.329642,3.875489,173,2,3,4,1,Bungalow,Unfurnished,Renovated,1,13.3,2.54,6.2,7.4,5.7,5.0,3,3.8,6500000
Samonda,7.435048,3.887186,198,3,4,4,1,Terraced House,Furnished,Renovated,1,10.3,2.23,7.7,7.5,6.2,6.4,3,3.2,19400000
Alalubosa,7.393778,3.86606,393,3,2,4,2,Duplex,Semi-Furnished,Old,2,4.2,1.26,9.4,8.4,6.0,8.8,4,4.3,61800000
Oluyole Estate,7.365094,3.87247,401,4,5,6,2,Duplex,Furnished,New,3,9.1,2.35,7.6,7.3,7.1,6.7,4,4.2,73700000
Samonda,7.434062,3.907049,188,3,3,5,1,Flat,Unfurnished,Old,0,5.0,1.41,6.5,6.2,3.0,4.0,3,3.2,10500000
Akobo,7.405007,3.915702,66,1,2,2,1,Mini Flat,Semi-Furnished,New,2,10.2,0.56,6.3,5.2,5.9,5.9,3,3.5,11500000
Oluyole Estate,7.363503,3.860591,298,3,2,4,1,Bungalow,Unfurnished,Old,2,6.0,1.81,5.5,7.6,6.9,8.1,4,4.2,21100000
Challenge,7.326721,3.870771,133,2,2,3,1,Terraced House,Unfurnished,Renovated,1,12.1,2.67,8.2,6.9,7.4,4.8,3,3.8,7600000
Oluyole Estate,7.382717,3.864055,336,4,3,3,1,Bungalow,Unfurnished,New,2,6.3,2.46,8.4,8.5,9.0,9.3,4,4.2,36300000
Challenge,7.344956,3.876222,284,2,2,2,1,Bungalow,Unfurnished,Old,1,7.6,0.37,7.4,6.2,3.8,6.6,3,3.8,7100000
Samonda,7.44869,3.911277,86,1,1,2,1,Mini Flat,Unfurnished,Old,0,13.3,0.17,8.2,5.4,4.3,4.7,3,3.2,5400000
Jericho,7.416288,3.880114,258,2,2,3,1,Bungalow,Furnished,New,3,9.6,1.99,8.7,8.9,6.1,6.6,4,4.8,84100000
Apete,7.449894,3.870906,227,3,4,4,1,Terraced House,Unfurnished,New,1,17.0,1.31,5.0,6.6,3.4,4.8,2,2.8,13000000
Bodija,7.441866,3.90798,269,3,4,4,1,Bungalow,Semi-Furnished,Renovated,3,5.4,2.27,10.0,9.3,9.0,10.0,5,5.0,105000000
Iyaganku GRA,7.381417,3.864181,487,5,5,5,2,Duplex,Furnished,Renovated,3,5.1,0.82,9.9,9.8,8.9,8.9,4,4.6,347200000
Akobo,7.399988,3.933443,276,3,3,3,2,Terraced House,Unfurnished,New,1,16.7,0.91,8.0,8.0,4.7,5.9,3,3.5,21800000
Oluyole Estate,7.36719,3.854378,306,3,4,5,1,Bungalow,Unfurnished,Renovated,1,3.8,2.65,9.0,9.7,7.2,8.8,4,4.2,33100000
Akobo,7.397712,3.912373,370,5,5,5,1,Bungalow,Unfurnished,Old,1,9.8,2.68,7.7,7.1,4.1,5.3,3,3.5,26500000
Jericho,7.405291,3.881662,330,4,5,6,1,Bungalow,Unfurnished,New,3,10.0,1.74,10.0,9.9,7.5,9.8,4,4.8,121200000
Samonda,7.426963,3.913485,120,2,3,3,2,Terraced House,Furnished,Renovated,0,10.9,2.04,7.4,7.7,6.1,6.2,3,3.2,9900000
Alalubosa,7.393798,3.848505,483,4,4,5,2,Duplex,Unfurnished,Renovated,1,4.9,2.97,8.8,7.4,6.5,7.3,4,4.3,64800000
Jericho,7.406505,3.889939,392,4,4,5,2,Duplex,Semi-Furnished,Renovated,4,8.6,0.28,10.0,8.8,6.3,7.5,4,4.8,134900000
Bodija,7.433722,3.91237,484,4,5,6,3,Detached House,Semi-Furnished,New,2,7.4,0.85,9.6,9.6,8.5,10.0,5,5.0,112900000
Oluyole Estate,7.366453,3.853953,162,2,3,4,1,Bungalow,Semi-Furnished,Renovated,2,5.6,0.18,8.1,6.6,5.0,8.2,4,4.2,23400000
Bodija,7.435458,3.916116,301,4,4,5,1,Detached House,Semi-Furnished,Renovated,3,7.2,0.77,9.3,9.9,8.3,9.2,5,5.0,110500000
Alalubosa,7.394119,3.855754,411,5,5,5,2,Duplex,Unfurnished,Old,1,6.6,0.28,9.6,9.6,8.3,9.6,4,4.3,55900000
Iyaganku GRA,7.366772,3.874127,494,5,5,5,2,Detached House,Semi-Furnished,New,2,4.7,1.2,7.7,8.9,5.2,9.8,4,4.6,217200000
Akobo,7.394798,3.908827,398,5,5,5,1,Bungalow,Unfurnished,Renovated,0,6.7,2.77,5.9,8.4,6.8,6.4,3,3.5,31300000
Oluyole Estate,7.358024,3.848229,256,3,3,3,2,Duplex,Unfurnished,New,2,9.1,2.18,8.1,7.9,5.1,8.0,4,4.2,41000000
Samonda,7.43498,3.910841,133,3,3,5,1,Flat,Unfurnished,New,2,8.4,0.93,5.6,5.9,5.2,4.8,3,3.2,14300000
Agodi GRA,7.405719,3.897763,455,5,5,6,2,Detached House,Furnished,Renovated,4,8.6,1.5,9.0,10.0,9.0,8.5,4,4.7,237900000
Oluyole Estate,7.373258,3.845929,209,2,1,1,1,Bungalow,Unfurnished,Renovated,3,6.9,2.64,8.2,6.8,7.6,9.3,4,4.2,20300000
Samonda,7.427258,3.897846,91,1,1,2,1,Flat,Unfurnished,Renovated,0,5.6,1.99,7.1,9.2,4.3,6.5,3,3.2,7200000
Bodija,7.422039,3.916403,591,6,5,6,1,Detached House,Unfurnished,New,2,10.1,2.03,8.0,10.0,9.0,9.4,5,5.0,156000000
Challenge,7.339514,3.871527,153,2,3,5,1,Terraced House,Semi-Furnished,Renovated,0,13.5,2.12,8.5,5.7,5.5,6.4,3,3.8,7600000
Jericho,7.399752,3.87114,479,4,4,5,2,Duplex,Semi-Furnished,Renovated,3,5.4,2.84,6.7,9.1,9.0,8.8,4,4.8,135400000
Akobo,7.392921,3.906949,227,2,1,1,1,Bungalow,Unfurnished,Renovated,0,10.1,0.43,6.8,4.8,6.7,6.4,3,3.5,12200000
Jericho,7.403383,3.883263,374,4,4,4,2,Detached House,Semi-Furnished,New,2,7.8,2.79,10.0,9.3,8.9,9.9,4,4.8,130400000
Oluyole Estate,7.363864,3.851474,179,2,3,3,1,Terraced House,Unfurnished,Old,1,7.2,0.62,8.5,7.8,6.0,6.5,4,4.2,22100000
Jericho,7.411851,3.899914,153,2,2,2,1,Bungalow,Semi-Furnished,New,3,5.6,2.18,7.3,8.8,9.0,9.6,4,4.8,59800000
Akobo,7.400167,3.916954,112,2,1,1,1,Mini Flat,Semi-Furnished,Old,2,14.2,0.84,7.4,6.9,9.0,6.9,3,3.5,9100000
Apete,7.443637,3.859234,230,3,3,3,1,Bungalow,Unfurnished,Old,1,13.3,0.11,4.3,4.0,3.0,4.0,2,2.8,9400000
Bodija,7.448979,3.900476,199,2,1,1,1,Bungalow,Furnished,New,3,8.7,0.66,9.3,10.0,9.0,8.6,5,5.0,104100000
Oluyole Estate,7.36611,3.857598,233,3,3,3,1,Bungalow,Unfurnished,Renovated,1,7.5,1.31,8.1,8.6,7.3,6.9,4,4.2,33300000
Akobo,7.406912,3.927851,94,1,1,1,1,Flat,Unfurnished,Renovated,0,10.3,2.1,9.6,7.2,6.5,7.3,3,3.5,7200000
Akobo,7.388874,3.917448,207,2,2,2,1,Bungalow,Unfurnished,New,2,13.5,2.06,8.5,8.7,6.9,6.1,3,3.5,13800000
Bodija,7.437403,3.919412,248,3,4,4,1,Bungalow,Furnished,Old,3,8.4,1.25,10.0,8.0,6.7,9.9,5,5.0,67700000
Akobo,7.39212,3.921781,278,3,4,4,1,Bungalow,Semi-Furnished,Old,1,12.5,2.49,8.4,6.1,9.0,6.2,3,3.5,23800000
Akobo,7.40159,3.912004,191,2,1,1,2,Terraced House,Unfurnished,Old,1,13.9,2.04,8.8,9.0,6.3,6.7,3,3.5,12700000
Jericho,7.402494,3.890427,486,5,5,6,2,Detached House,Semi-Furnished,Renovated,3,5.4,0.11,9.6,7.4,9.0,8.1,4,4.8,137700000
Akobo,7.393084,3.910774,362,3,3,3,1,Bungalow,Semi-Furnished,New,1,12.0,1.92,8.3,7.1,6.3,9.0,3,3.5,30200000
Bodija,7.446291,3.92409,370,4,3,4,1,Bungalow,Furnished,New,2,4.4,1.31,9.9,10.0,9.0,10.0,5,5.0,151400000
Akobo,7.375621,3.909746,345,4,3,4,1,Bungalow,Unfurnished,Renovated,0,10.2,2.16,8.2,5.3,6.1,5.0,3,3.5,24000000
Akobo,7.408503,3.928242,55,2,1,1,1,Mini Flat,Unfurnished,Old,0,13.9,0.84,7.4,6.4,8.3,6.3,3,3.5,4600000
Samonda,7.42282,3.903357,103,2,1,2,1,Flat,Semi-Furnished,Renovated,0,10.2,1.89,4.0,4.3,3.0,4.6,3,3.2,8800000
Samonda,7.4236,3.906484,124,2,2,4,2,Terraced House,Unfurnished,New,1,8.7,2.21,5.1,4.3,7.6,4.3,3,3.2,16800000
Challenge,7.34348,3.871958,129,1,2,3,1,Flat,Semi-Furnished,Old,1,14.9,1.71,5.4,7.7,7.6,6.4,3,3.8,5600000
Samonda,7.422857,3.904524,122,2,3,3,2,Terraced House,Unfurnished,Renovated,2,12.1,0.6,6.2,5.1,5.3,6.5,3,3.2,11900000
Alalubosa,7.391281,3.855171,257,3,2,2,2,Duplex,Unfurnished,Renovated,2,2.0,0.57,9.3,7.8,8.3,6.9,4,4.3,36400000
Alalubosa,7.373019,3.858231,214,3,2,2,1,Terraced House,Unfurnished,New,3,2.0,1.39,10.0,8.9,7.4,9.8,4,4.3,48000000
Bodija,7.432919,3.918597,466,5,4,4,3,Detached House,Furnished,Old,3,10.4,0.86,10.0,10.0,9.0,9.6,5,5.0,141400000
Iyaganku GRA,7.389615,3.87015,580,6,5,6,3,Detached House,Semi-Furnished,New,4,5.5,1.79,9.6,9.4,5.3,6.4,4,4.6,349700000
Bodija,7.43888,3.898615,452,3,3,3,2,Duplex,Semi-Furnished,New,3,8.1,1.15,9.8,10.0,8.1,9.4,5,5.0,147200000
Oluyole Estate,7.369757,3.864628,416,5,5,6,3,Detached House,Unfurnished,Renovated,2,10.9,2.35,8.8,6.0,9.0,9.6,4,4.2,58500000
Bodija,7.43469,3.908547,391,4,4,4,3,Detached House,Unfurnished,New,3,7.7,1.17,8.7,10.0,5.7,10.0,5,5.0,95000000
Alalubosa,7.387515,3.869587,155,2,1,3,1,Terraced House,Furnished,New,2,2.0,2.23,6.8,8.1,4.5,7.5,4,4.3,25900000
Alalubosa,7.382295,3.870321,275,3,4,5,2,Duplex,Semi-Furnished,Old,2,5.0,0.13,7.3,7.7,3.0,5.9,4,4.3,56900000
Challenge,7.344173,3.868032,306,3,4,4,1,Bungalow,Unfurnished,New,2,13.4,2.38,7.2,8.0,7.3,7.6,3,3.8,15100000
Jericho,7.404455,3.880384,210,2,1,2,1,Bungalow,Furnished,Renovated,3,3.5,2.0,9.3,8.1,6.5,9.5,4,4.8,45500000
Agodi GRA,7.410561,3.901093,385,4,4,5,1,Detached House,Unfurnished,New,4,5.8,0.31,9.7,9.1,9.0,9.4,4,4.7,188200000
Samonda,7.435067,3.899566,87,1,2,3,1,Mini Flat,Unfurnished,Renovated,1,12.7,2.2,5.1,6.8,3.6,4.4,3,3.2,6600000
Alalubosa,7.379423,3.86214,171,2,3,4,2,Terraced House,Semi-Furnished,Old,2,2.5,1.6,9.6,9.6,6.8,8.9,4,4.3,31300000
Akobo,7.392885,3.929667,183,2,2,3,1,Bungalow,Semi-Furnished,Old,1,13.4,1.41,5.9,6.5,8.0,8.9,3,3.5,16000000
Alalubosa,7.393301,3.863478,286,3,2,3,1,Bungalow,Furnished,Renovated,3,4.0,0.55,7.5,8.1,8.8,8.9,4,4.3,59300000
Jericho,7.402813,3.887807,365,4,5,6,1,Detached House,Semi-Furnished,New,3,3.7,0.36,9.3,10.0,9.0,8.9,4,4.8,154500000
Oluyole Estate,7.359655,3.867605,349,4,5,5,1,Bungalow,Furnished,Renovated,3,7.5,1.39,5.2,8.8,7.9,7.3,4,4.2,40500000
Samonda,7.431172,3.909285,210,2,2,3,1,Bungalow,Furnished,Old,2,12.0,2.78,5.7,6.9,6.6,6.4,3,3.2,13600000
Challenge,7.352109,3.881284,263,2,1,1,1,Bungalow,Unfurnished,Renovated,1,10.8,1.69,7.3,8.0,4.0,5.6,3,3.8,10100000
Jericho,7.384358,3.886978,156,2,1,1,1,Bungalow,Semi-Furnished,New,4,8.0,2.86,10.0,8.5,9.0,9.7,4,4.8,51700000
